[ticker-service] Installing dependencies...
bun install v1.3.14 (0d9b296a)

+ socket.io@4.8.3

22 packages installed [111.00ms]
[ticker-service] Running bun run dev...
$ bun --hot index.ts
[ticker] Loaded 65 tick records
[ticker] Loaded 1 hourly records
[ticker-service] Notification push server on port 3004
[ticker-service] WebSocket server running on port 3003
[ticker-service] Source: Binance P2P API (only)
[ticker-service] Fetching every 10s, 20 ads per side
[ticker-service] Tick history: /home/z/my-project/mini-services/ticker-service/data/price-history.json
[ticker-service] Hourly history: /home/z/my-project/mini-services/ticker-service/data/hourly-history.json
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.11 | BUY: 50.91, SELL: 50.81 | Spread: 0.10 | 24h: +0.2% (+0.1) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 150, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.14 | BUY: 50.93, SELL: 50.83 | Spread: 0.10 | 24h: +0.24% (+0.12) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 151, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.14 | BUY: 50.93, SELL: 50.83 | Spread: 0.10 | 24h: +0.24% (+0.12) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 152, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.1 | BUY: 50.91, SELL: 50.81 | Spread: 0.10 | 24h: +0.2% (+0.1) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 153, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.1 | BUY: 50.91, SELL: 50.81 | Spread: 0.10 | 24h: +0.2% (+0.1) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 154, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.1 | BUY: 50.91, SELL: 50.81 | Spread: 0.10 | 24h: +0.2% (+0.1) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 155, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.12 | BUY: 50.92, SELL: 50.82 | Spread: 0.10 | 24h: +0.22% (+0.11) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 156, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.1 | BUY: 50.91, SELL: 50.81 | Spread: 0.10 | 24h: +0.2% (+0.1) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 157, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.1 | BUY: 50.91, SELL: 50.81 | Spread: 0.10 | 24h: +0.2% (+0.1) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 158, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.1 | BUY: 50.91, SELL: 50.81 | Spread: 0.10 | 24h: +0.2% (+0.1) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 159, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.15 | BUY: 50.93, SELL: 50.84 | Spread: 0.09 | 24h: +0.26% (+0.13) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 160, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.12 | BUY: 50.92, SELL: 50.82 | Spread: 0.10 | 24h: +0.22% (+0.11) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 161, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.12 | BUY: 50.92, SELL: 50.82 | Spread: 0.10 | 24h: +0.22% (+0.11) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 162, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.1 | BUY: 50.91, SELL: 50.81 | Spread: 0.10 | 24h: +0.2% (+0.1) | High: 50.91, Low: 50.73, Open: 50.76 | Ticks: 163, Hourly: 2
